Text16;Текст3;Text14;Text18;Text17;Текст5;Text23;Text24
Организация;;;Демо;;;;
Группа;;;Грузовые;;;;
Наименование;;;Камаз трололо );;;Минимальная продолжительность стоянки;0:01:00
Регистрационный №;;;д 555 дд;;;;
Позывной;;;Мусоровоз;;;;
№;Период стоянки с;;Период стоянки по;;Продолжи- тельность;Место стоянки;
;Дата;Время;Дата;Время;;;
58;16.08.2013;10:14:48;16.08.2013;10:18:10;0:03:22;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06""";
59;16.08.2013;10:18:14;16.08.2013;10:19:37;0:01:23;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26""";
60;16.08.2013;10:19:40;16.08.2013;10:24:44;0:05:04;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02""";
61;16.08.2013;10:24:58;16.08.2013;10:30:03;0:05:05;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20""";
62;16.08.2013;10:30:50;16.08.2013;10:32:54;0:02:04;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24""";
63;16.08.2013;10:33:01;16.08.2013;10:35:42;0:02:41;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14""";
64;16.08.2013;10:39:14;16.08.2013;10:40:40;0:01:26;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51""";
65;16.08.2013;10:40:53;16.08.2013;10:42:48;0:01:55;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66""";
66;16.08.2013;10:43:40;16.08.2013;10:45:24;0:01:44;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21""";
67;16.08.2013;10:46:42;16.08.2013;10:48:35;0:01:53;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95""";
68;16.08.2013;10:50:01;16.08.2013;10:53:03;0:03:02;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18""";
69;16.08.2013;10:55:05;16.08.2013;10:56:06;0:01:01;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88""";
70;16.08.2013;10:56:18;16.08.2013;10:58:06;0:01:48;"Долгота=39° 00' 22.11"" Широта=45° 14' 37.62""";
71;16.08.2013;11:05:38;16.08.2013;11:10:42;0:05:04;"Долгота=38° 57' 09.71"" Широта=45° 13' 58.98""";
72;16.08.2013;11:12:42;16.08.2013;11:19:31;0:06:49;"Долгота=38° 57' 15.70"" Широта=45° 13' 57.75""";
73;16.08.2013;11:47:04;16.08.2013;11:52:27;0:05:23;"Долгота=39° 11' 06.97"" Широта=45° 13' 58.12""";
74;16.08.2013;11:57:44;16.08.2013;11:59:11;0:01:27;"Долгота=39° 11' 31.34"" Широта=45° 15' 02.46""";
75;16.08.2013;12:01:24;16.08.2013;12:12:19;0:10:55;"Долгота=39° 11' 03.86"" Широта=45° 14' 59.88""";
76;16.08.2013;12:13:47;16.08.2013;12:18:54;0:05:07;"Долгота=39° 10' 53.48"" Широта=45° 14' 56.90""";
77;16.08.2013;12:41:42;16.08.2013;12:50:31;0:08:49;"Долгота=39° 00' 44.27"" Широта=45° 14' 16.77""";
78;16.08.2013;12:57:20;16.08.2013;13:14:49;0:17:29;"Долгота=39° 00' 30.50"" Широта=45° 15' 13.46""";
79;16.08.2013;13:16:13;16.08.2013;13:20:33;0:04:20;"Долгота=39° 00' 25.80"" Широта=45° 15' 05.95""";
80;16.08.2013;13:35:06;16.08.2013;14:20:41;0:45:35;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51""";
81;16.08.2013;14:24:33;16.08.2013;14:36:07;0:11:34;Хоз двор. Место где находится гараж.;
82;16.08.2013;14:43:51;16.08.2013;14:49:13;0:05:22;"Долгота=39° 00' 23.21"" Широта=45° 14' 33.51""";
83;16.08.2013;14:49:25;16.08.2013;14:51:51;0:02:26;"Долгота=39° 00' 23.70"" Широта=45° 14' 29.29""";
84;16.08.2013;14:52:10;16.08.2013;14:53:19;0:01:09;"Долгота=39° 00' 24.72"" Широта=45° 14' 24.61""";
85;16.08.2013;14:53:22;16.08.2013;14:57:01;0:03:39;"Долгота=39° 00' 24.91"" Широта=45° 14' 22.50""";
86;16.08.2013;14:57:13;16.08.2013;14:59:21;0:02:08;"Долгота=39° 00' 25.14"" Широта=45° 14' 19.14""";
87;16.08.2013;15:00:20;16.08.2013;15:04:38;0:04:18;"Долгота=39° 00' 25.97"" Широта=45° 14' 12.11""";
88;16.08.2013;15:04:44;16.08.2013;15:06:00;0:01:16;"Долгота=39° 00' 26.52"" Широта=45° 14' 09.87""";
89;16.08.2013;15:07:57;16.08.2013;15:09:32;0:01:35;"Долгота=39° 00' 33.27"" Широта=45° 14' 04.20""";
90;16.08.2013;15:10:26;16.08.2013;15:25:39;0:15:13;"Долгота=39° 00' 26.16"" Широта=45° 14' 07.66""";
91;16.08.2013;15:26:09;16.08.2013;15:34:47;0:08:38;Точка №1 ул. Набережная.;
92;16.08.2013;15:39:04;16.08.2013;15:46:36;0:07:32;"Долгота=39° 00' 20.17"" Широта=45° 14' 42.00""";
93;16.08.2013;15:49:13;16.08.2013;15:52:07;0:02:54;"Долгота=39° 00' 16.60"" Широта=45° 14' 53.53""";
94;16.08.2013;15:52:44;16.08.2013;16:04:42;0:11:58;Точка №2 ул.Привокзальная.;
95;16.08.2013;16:05:36;16.08.2013;16:11:26;0:05:50;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07""";
96;16.08.2013;16:11:42;16.08.2013;16:15:20;0:03:38;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94""";
