Text11;Text9;Text12;Заголовок_данныхInterestPointHistory__История_точек_интереса__STARTTIME;Заголовок_данныхInterestPointHistory__История_точек_интереса__ENDTIME;Text16;Text19;Text15;Text23;Text24
Организация;;Демо;;;;;;;
Группа;;Грузовые;;;;;;;
Наименование;;ЗИЛ на склад его;;;;;;;
Регистрационный №;;з 12345 зzzз;;;;;;;
Описание;;Бензовоз;;;;;;;
Зона интереса;;;Время въезда;Время выезда;Продолжи- тельность (чч:мм:сc);Макс.  скорость (км/ч);Расстояние (км);;
№;Наименование;Описание;;;;;от  предыдущей;в зоне;с начала движения
1;Начало движения;Начало движения;;16.08.13 10:02:20;;;;;0,00
2;Окончание движения;Окончание движения;18.08.13 21:17:22;;;;;;0,93
Организация;;Демо;;;;;;;
Группа;;Грузовые;;;;;;;
Наименование;;ЗИЛ шмиль;;;;;;;
Регистрационный №;;ю 652 юю;;;;;;;
Описание;;Курьер мольер;;;;;;;
Зона интереса;;;Время въезда;Время выезда;Продолжи- тельность (чч:мм:сc);Макс.  скорость (км/ч);Расстояние (км);;
№;Наименование;Описание;;;;;от  предыдущей;в зоне;с начала движения
1;Начало движения;Начало движения;;16.08.13 00:00:02;;;;;0,00
2;Зона интереса 03/20/2013 21:16:45;;16.08.13 01:26:02;16.08.13 01:37:47;00:11:45;87,60;77,47;15,66;77,25
3;Зона интереса 03/20/2013 21:16:45;;16.08.13 20:26:17;16.08.13 20:30:02;00:03:45;85,70;402,68;5,22;495,17
4;Зона интереса 03/20/2013 21:16:45;;16.08.13 20:30:32;16.08.13 20:31:32;00:01:00;85,40;1,07;1,43;501,07
5;Зона интереса 03/20/2013 21:16:45;;16.08.13 20:32:02;16.08.13 20:34:47;00:02:45;85,70;1,07;3,92;503,21
6;Зона интереса 03/20/2013 21:16:45;;16.08.13 20:35:32;16.08.13 20:35:47;00:00:15;85,40;1,43;0;508,20
7;Зона интереса 03/20/2013 21:16:45;;16.08.13 20:36:47;16.08.13 20:37:32;00:00:45;85,70;3,57;1,07;509,99
8;Круг (квадрат);123;17.08.13 10:54:50;17.08.13 11:01:35;00:06:45;87,10;286,80;8,55;797,50
9;Тут пересекается;Поэтому площадь считается неправильно;17.08.13 11:09:50;17.08.13 11:10:20;00:00:30;88,80;10,64;0,70;816,37
10;Зона интереса 25.02.2013 20:36:20;;17.08.13 11:17:50;17.08.13 11:18:05;00:00:15;61,90;8,85;0;825,69
11;Краснода-Архангельск;Очень длинный трек;17.08.13 11:47:35;17.08.13 11:47:50;00:00:15;28,80;43,22;0;859,94
12;Краснода-Архангельск;Очень длинный трек;17.08.13 11:48:05;17.08.13 11:53:20;00:05:15;80,60;43,71;6,49;860,20
13;Краснода-Архангельск;Очень длинный трек;17.08.13 11:53:50;17.08.13 11:54:50;00:01:00;76,10;0,90;1,26;867,22
14;Краснода-Архангельск;Очень длинный трек;17.08.13 11:55:20;17.08.13 11:56:50;00:01:30;76,60;0,95;1,88;869,09
15;Краснода-Архангельск;Очень длинный трек;17.08.13 11:57:35;17.08.13 11:57:50;00:00:15;88,60;1,33;0,36;871,93
16;Краснода-Архангельск;Очень длинный трек;17.08.13 11:58:20;17.08.13 12:02:05;00:03:45;80,20;0,98;4,31;872,98
17;Краснода-Архангельск;Очень длинный трек;17.08.13 12:02:35;17.08.13 12:04:35;00:02:00;87,60;1,04;2,58;877,94
18;Краснода-Архангельск;Очень длинный трек;17.08.13 12:05:50;17.08.13 12:06:50;00:01:00;79,40;1,75;1,26;882,06
19;Краснода-Архангельск;Очень длинный трек;17.08.13 12:07:50;17.08.13 12:08:20;00:00:30;76,30;1,54;0,64;884,58
20;Краснода-Архангельск;Очень длинный трек;17.08.13 12:09:20;17.08.13 12:09:35;00:00:15;77,00;1,58;0;886,47
21;Краснода-Архангельск;Очень длинный трек;17.08.13 12:10:05;17.08.13 12:11:50;00:01:45;73,00;2,83;1,81;887,42
22;Краснода-Архангельск;Очень длинный трек;17.08.13 12:24:35;17.08.13 12:24:50;00:00:15;18,00;1,34;0;890,69
23;Краснода-Архангельск;Очень длинный трек;17.08.13 12:25:05;17.08.13 12:26:05;00:01:00;62,60;1,75;0,99;890,92
24;Краснода-Архангельск;Очень длинный трек;17.08.13 12:26:35;17.08.13 12:29:20;00:02:45;83,80;0,65;3,15;892,32
25;Краснода-Архангельск;Очень длинный трек;17.08.13 12:30:05;17.08.13 12:32:50;00:02:45;85,40;1,42;3,52;896,35
26;Краснода-Архангельск;Очень длинный трек;17.08.13 12:33:35;17.08.13 12:33:50;00:00:15;61,20;0,89;0,26;900,61
27;Краснода-Архангельск;Очень длинный трек;17.08.13 12:34:20;17.08.13 12:34:50;00:00:30;62,90;0,80;0,38;901,36
28;Краснода-Архангельск;Очень длинный трек;17.08.13 12:35:20;17.08.13 12:37:35;00:02:15;48,00;0,47;1,06;902,16
29;Краснода-Архангельск;Очень длинный трек;17.08.13 12:44:20;17.08.13 12:44:50;00:00:30;8,20;0,25;0,04;903,55
30;Краснода-Архангельск;Очень длинный трек;17.08.13 12:45:20;17.08.13 12:46:05;00:00:45;7,00;0,06;0,07;903,66
31;Краснода-Архангельск;Очень длинный трек;17.08.13 12:48:05;17.08.13 12:50:35;00:02:30;79,90;0,92;2,30;904,42
32;Краснода-Архангельск;Очень длинный трек;17.08.13 16:07:20;17.08.13 16:07:35;00:00:15;1,40;27,96;0;934,49
33;Краснода-Архангельск;Очень длинный трек;17.08.13 16:07:50;17.08.13 16:11:05;00:03:15;64,60;28,38;2,44;934,70
34;Краснода-Архангельск;Очень длинный трек;17.08.13 16:11:35;17.08.13 16:12:35;00:01:00;18,50;0,09;0,15;937,38
35;Овал;;17.08.13 16:53:20;18.08.13 07:12:35;14:19:15;82,30;22,99;16,11;960,20
36;Краснода-Архангельск;Очень длинный трек;18.08.13 07:19:20;18.08.13 07:21:35;00:02:15;76,80;7,74;2,55;984,06
37;Краснода-Архангельск;Очень длинный трек;18.08.13 07:22:05;18.08.13 07:29:35;00:07:30;76,80;0,95;5,63;986,96
38;Краснода-Архангельск;Очень длинный трек;18.08.13 07:30:20;18.08.13 07:30:50;00:00:30;82,10;1,29;0,68;993,55
39;Краснода-Архангельск;Очень длинный трек;18.08.13 07:39:35;18.08.13 07:42:05;00:02:30;77,30;11,50;3,14;1 005,42
40;Зона интереса 25.02.2013 20:36:20;;18.08.13 08:10:05;18.08.13 08:10:20;00:00:15;59,80;31,97;0;1 040,27
41;Зона интереса 13.02.2013 9:04:59;;18.08.13 08:16:05;18.08.13 08:19:05;00:03:00;71,30;37,54;3,06;1 045,61
42;Зона интереса 13.02.2013 9:06:36;;18.08.13 08:19:20;18.08.13 08:20:05;00:00:45;63,40;0,51;0,65;1 048,90
43;Зона интереса 13.02.2013 9:06:36;;18.08.13 08:23:05;18.08.13 08:23:20;00:00:15;72,00;3,81;0,30;1 053,18
44;Зона интереса 13.02.2013 9:11:03;;18.08.13 08:25:20;18.08.13 08:26:35;00:01:15;75,10;2,86;1,49;1 056,01
45;Окончание движения;Окончание движения;18.08.13 22:19:05;;;;;;1 808,53
Организация;;Демо;;;;;;;
Группа;;Грузовые;;;;;;;
Наименование;;Камаз трололо );;;;;;;
Регистрационный №;;д 555 дд;;;;;;;
Описание;;Мусоровоз;;;;;;;
Зона интереса;;;Время въезда;Время выезда;Продолжи- тельность (чч:мм:сc);Макс.  скорость (км/ч);Расстояние (км);;
№;Наименование;Описание;;;;;от  предыдущей;в зоне;с начала движения
1;Начало движения;Начало движения;;16.08.13 00:17:03;;;;;0,00
2;Точка №2 ул.Привокзальная;;16.08.13 00:48:34;16.08.13 00:49:09;00:00:35;6,00;2,52;0,05;2,42
3;Зона интереса 08/06/2013 13:42:53;;16.08.13 01:05:36;16.08.13 01:05:55;00:00:19;42,80;3,17;0;5,47
4;Хоз двор;Место где находится гараж;16.08.13 01:26:29;16.08.13 01:28:02;00:01:33;26,60;6,98;0,25;9,13
5;Зона интереса 08/06/2013 13:42:53;;16.08.13 01:28:26;16.08.13 01:28:56;00:00:30;18,10;0,28;0;9,58
6;Шлагбаум;На въезде;16.08.13 01:38:30;16.08.13 01:38:53;00:00:23;58,10;7,10;0;16,03
7;Краснода-Архангельск;Очень длинный трек;16.08.13 01:55:37;16.08.13 01:55:48;00:00:11;49,90;18,44;0,27;27,22
8;Краснода-Архангельск;Очень длинный трек;16.08.13 01:57:26;16.08.13 01:57:49;00:00:23;52,30;1,91;0;29,01
9;Точка №3 тупичёк за озером;;16.08.13 02:15:29;16.08.13 02:15:54;00:00:25;0,30;3,68;0;30,69
10;Точка №3 тупичёк за озером;;16.08.13 02:23:00;16.08.13 02:23:18;00:00:18;10,60;4,17;0;31,13
11;Краснода-Архангельск;Очень длинный трек;16.08.13 02:28:38;16.08.13 02:29:59;00:01:21;57,10;7,48;0,12;33,15
12;Шлагбаум;На въезде;16.08.13 02:41:27;16.08.13 02:41:50;00:00:23;59,50;11,48;0;45,53
13;Точка №2 ул.Привокзальная;;16.08.13 02:57:15;16.08.13 02:57:36;00:00:21;30,20;16,53;0;50,40
14;Хоз двор;Место где находится гараж;16.08.13 03:33:12;16.08.13 03:34:32;00:01:20;32,00;22,50;0,27;56,31
15;Зона интереса 08/06/2013 13:42:53;;16.08.13 03:34:54;16.08.13 03:35:15;00:00:21;24,20;0,26;0;56,69
16;Зона интереса 08/06/2013 13:42:53;;16.08.13 04:26:04;16.08.13 04:26:38;00:00:34;5,40;2,77;0;59,15
17;Хоз двор;Место где находится гараж;16.08.13 04:27:04;16.08.13 04:39:17;00:12:13;32,00;3,03;0,24;59,35
18;Зона интереса 08/06/2013 13:42:53;;16.08.13 04:39:49;16.08.13 04:40:18;00:00:29;17,60;0,32;0;59,70
19;Точка №1 ул. Набережная;;16.08.13 05:28:49;16.08.13 05:37:57;00:09:08;6,30;4,21;0,17;63,53
20;Точка №2 ул.Привокзальная;;16.08.13 05:55:40;16.08.13 06:07:52;00:12:12;11,80;1,72;0,16;65,29
21;Точка №2 ул.Привокзальная;;16.08.13 06:20:35;16.08.13 06:20:51;00:00:16;22,80;1,09;0,10;66,37
22;Овал;;16.08.13 07:17:48;16.08.13 07:35:10;00:17:22;62,90;17,84;13,82;82,16
23;Точка №3 тупичёк за озером;;16.08.13 07:50:24;16.08.13 07:50:38;00:00:14;2,20;8,82;0;106,65
24;Точка №3 тупичёк за озером;;16.08.13 07:57:24;16.08.13 08:16:48;00:19:24;7,90;9,21;0,30;107,00
25;Краснода-Архангельск;Очень длинный трек;16.08.13 08:20:46;16.08.13 08:22:43;00:01:57;56,80;3,28;0,13;108,47
26;Шлагбаум;На въезде;16.08.13 08:33:58;16.08.13 08:34:11;00:00:13;58,40;11,32;0;121,43
27;Зона интереса 08/06/2013 13:42:53;;16.08.13 08:43:09;16.08.13 08:43:15;00:00:06;31,80;17,98;0,05;128,03
28;Хоз двор;Место где находится гараж;16.08.13 08:43:42;16.08.13 09:13:54;00:30:12;31,80;0,22;0,22;128,25
29;Зона интереса 08/06/2013 13:42:53;;16.08.13 09:14:08;16.08.13 09:14:36;00:00:28;14,40;0,22;0,07;128,52
30;Точка №2 ул.Привокзальная;;16.08.13 10:45:24;16.08.13 10:45:59;00:00:35;6,00;3,91;0,05;132,43
31;Зона интереса 08/06/2013 13:42:53;;16.08.13 11:02:26;16.08.13 11:02:45;00:00:19;42,80;3,17;0;135,48
32;Хоз двор;Место где находится гараж;16.08.13 11:23:19;16.08.13 11:24:52;00:01:33;26,60;6,98;0,25;139,15
33;Зона интереса 08/06/2013 13:42:53;;16.08.13 11:25:16;16.08.13 11:25:46;00:00:30;18,10;0,28;0;139,59
34;Шлагбаум;На въезде;16.08.13 11:35:20;16.08.13 11:35:43;00:00:23;58,10;7,10;0;146,04
35;Краснода-Архангельск;Очень длинный трек;16.08.13 11:52:27;16.08.13 11:52:38;00:00:11;49,90;18,44;0,27;157,23
36;Краснода-Архангельск;Очень длинный трек;16.08.13 11:54:16;16.08.13 11:54:39;00:00:23;52,30;1,91;0;159,02
37;Точка №3 тупичёк за озером;;16.08.13 12:12:19;16.08.13 12:12:44;00:00:25;0,30;3,68;0;160,71
38;Точка №3 тупичёк за озером;;16.08.13 12:19:50;16.08.13 12:20:08;00:00:18;10,60;4,17;0;161,14
39;Краснода-Архангельск;Очень длинный трек;16.08.13 12:25:28;16.08.13 12:26:49;00:01:21;57,10;7,48;0,12;163,16
40;Шлагбаум;На въезде;16.08.13 12:38:17;16.08.13 12:38:40;00:00:23;59,50;11,48;0;175,54
41;Точка №2 ул.Привокзальная;;16.08.13 12:54:05;16.08.13 12:54:26;00:00:21;30,20;16,53;0;180,42
42;Хоз двор;Место где находится гараж;16.08.13 13:30:02;16.08.13 13:31:22;00:01:20;32,00;22,50;0,27;186,33
43;Зона интереса 08/06/2013 13:42:53;;16.08.13 13:31:44;16.08.13 13:32:05;00:00:21;24,20;0,26;0;186,71
44;Зона интереса 08/06/2013 13:42:53;;16.08.13 14:22:54;16.08.13 14:23:28;00:00:34;5,40;2,77;0;189,16
45;Хоз двор;Место где находится гараж;16.08.13 14:23:54;16.08.13 14:36:07;00:12:13;32,00;3,03;0,24;189,37
46;Зона интереса 08/06/2013 13:42:53;;16.08.13 14:36:39;16.08.13 14:37:08;00:00:29;17,60;0,32;0;189,71
47;Точка №1 ул. Набережная;;16.08.13 15:25:39;16.08.13 15:34:47;00:09:08;6,30;4,21;0,17;193,55
48;Точка №2 ул.Привокзальная;;16.08.13 15:52:30;16.08.13 16:04:42;00:12:12;11,80;1,72;0,16;195,30
49;Точка №2 ул.Привокзальная;;16.08.13 16:17:25;16.08.13 16:17:41;00:00:16;22,80;1,09;0,10;196,38
50;Овал;;16.08.13 17:14:38;16.08.13 17:32:00;00:17:22;62,90;17,84;13,82;212,18
51;Точка №3 тупичёк за озером;;16.08.13 17:47:14;16.08.13 17:47:28;00:00:14;2,20;8,82;0;236,67
52;Точка №3 тупичёк за озером;;16.08.13 17:54:14;16.08.13 18:13:38;00:19:24;7,90;9,21;0,30;237,02
53;Краснода-Архангельск;Очень длинный трек;16.08.13 18:17:36;16.08.13 18:19:33;00:01:57;56,80;3,28;0,13;238,49
54;Шлагбаум;На въезде;16.08.13 18:30:48;16.08.13 18:31:01;00:00:13;58,40;11,32;0;251,45
55;Зона интереса 08/06/2013 13:42:53;;16.08.13 18:39:59;16.08.13 18:40:05;00:00:06;31,80;17,98;0,05;258,05
56;Хоз двор;Место где находится гараж;16.08.13 18:40:32;16.08.13 19:10:44;00:30:12;31,80;0,22;0,22;258,27
57;Зона интереса 08/06/2013 13:42:53;;16.08.13 19:10:58;16.08.13 19:11:26;00:00:28;14,40;0,22;0,07;258,54
58;Точка №2 ул.Привокзальная;;16.08.13 20:42:14;16.08.13 20:42:49;00:00:35;6,00;3,91;0,05;262,45
59;Зона интереса 08/06/2013 13:42:53;;16.08.13 20:59:16;16.08.13 20:59:35;00:00:19;42,80;3,17;0;265,50
60;Хоз двор;Место где находится гараж;16.08.13 21:20:09;16.08.13 21:21:42;00:01:33;26,60;6,98;0,25;269,17
61;Зона интереса 08/06/2013 13:42:53;;16.08.13 21:22:06;16.08.13 21:22:36;00:00:30;18,10;0,28;0;269,61
62;Шлагбаум;На въезде;16.08.13 21:32:10;16.08.13 21:32:33;00:00:23;58,10;7,10;0;276,06
63;Краснода-Архангельск;Очень длинный трек;16.08.13 21:49:17;16.08.13 21:49:28;00:00:11;49,90;18,44;0,27;287,25
64;Краснода-Архангельск;Очень длинный трек;16.08.13 21:51:06;16.08.13 21:51:29;00:00:23;52,30;1,91;0;289,04
65;Точка №3 тупичёк за озером;;16.08.13 22:09:09;16.08.13 22:09:34;00:00:25;0,30;3,68;0;290,73
66;Точка №3 тупичёк за озером;;16.08.13 22:16:40;16.08.13 22:16:58;00:00:18;10,60;4,17;0;291,16
67;Краснода-Архангельск;Очень длинный трек;16.08.13 22:22:18;16.08.13 22:23:39;00:01:21;57,10;7,48;0,12;293,18
68;Шлагбаум;На въезде;16.08.13 22:35:07;16.08.13 22:35:30;00:00:23;59,50;11,48;0;305,56
69;Точка №2 ул.Привокзальная;;16.08.13 22:50:55;16.08.13 22:51:16;00:00:21;30,20;16,53;0;310,44
70;Хоз двор;Место где находится гараж;16.08.13 23:26:52;16.08.13 23:28:12;00:01:20;32,00;22,50;0,27;316,35
71;Зона интереса 08/06/2013 13:42:53;;16.08.13 23:28:34;16.08.13 23:28:55;00:00:21;24,20;0,26;0;316,73
72;Зона интереса 08/06/2013 13:42:53;;17.08.13 00:19:44;17.08.13 00:20:18;00:00:34;5,40;2,77;0;319,18
73;Хоз двор;Место где находится гараж;17.08.13 00:20:44;17.08.13 00:32:57;00:12:13;32,00;3,03;0,24;319,39
74;Зона интереса 08/06/2013 13:42:53;;17.08.13 00:33:29;17.08.13 00:33:58;00:00:29;17,60;0,32;0;319,73
75;Точка №1 ул. Набережная;;17.08.13 01:22:29;17.08.13 01:31:37;00:09:08;6,30;4,21;0,17;323,57
76;Точка №2 ул.Привокзальная;;17.08.13 01:49:20;17.08.13 02:01:32;00:12:12;11,80;1,72;0,16;325,32
77;Точка №2 ул.Привокзальная;;17.08.13 02:14:15;17.08.13 02:14:31;00:00:16;22,80;1,09;0,10;326,40
78;Овал;;17.08.13 03:11:28;17.08.13 03:28:50;00:17:22;62,90;17,84;13,82;342,20
79;Точка №3 тупичёк за озером;;17.08.13 03:44:04;17.08.13 03:44:18;00:00:14;2,20;8,82;0;366,69
80;Точка №3 тупичёк за озером;;17.08.13 03:51:04;17.08.13 04:10:28;00:19:24;7,90;9,21;0,30;367,04
81;Краснода-Архангельск;Очень длинный трек;17.08.13 04:14:26;17.08.13 04:16:23;00:01:57;56,80;3,27;0,13;368,51
82;Шлагбаум;На въезде;17.08.13 04:27:38;17.08.13 04:27:51;00:00:13;58,40;11,32;0;381,47
83;Зона интереса 08/06/2013 13:42:53;;17.08.13 04:36:49;17.08.13 04:36:55;00:00:06;31,80;17,98;0,05;388,07
84;Хоз двор;Место где находится гараж;17.08.13 04:37:22;17.08.13 05:07:34;00:30:12;31,80;0,22;0,22;388,29
85;Зона интереса 08/06/2013 13:42:53;;17.08.13 05:07:48;17.08.13 05:08:16;00:00:28;14,40;0,22;0,07;388,56
86;Точка №2 ул.Привокзальная;;17.08.13 06:39:04;17.08.13 06:39:39;00:00:35;6,00;3,91;0,05;392,47
87;Зона интереса 08/06/2013 13:42:53;;17.08.13 06:56:06;17.08.13 06:56:25;00:00:19;42,80;3,17;0;395,52
88;Хоз двор;Место где находится гараж;17.08.13 07:16:59;17.08.13 07:18:32;00:01:33;26,60;6,98;0,25;399,19
89;Зона интереса 08/06/2013 13:42:53;;17.08.13 07:18:56;17.08.13 07:19:26;00:00:30;18,10;0,28;0;399,63
90;Шлагбаум;На въезде;17.08.13 07:29:00;17.08.13 07:29:23;00:00:23;58,10;7,10;0;406,08
91;Краснода-Архангельск;Очень длинный трек;17.08.13 07:46:07;17.08.13 07:46:18;00:00:11;49,90;18,44;0,27;417,27
92;Краснода-Архангельск;Очень длинный трек;17.08.13 07:47:56;17.08.13 07:48:19;00:00:23;52,30;1,91;0;419,06
93;Точка №3 тупичёк за озером;;17.08.13 08:05:59;17.08.13 08:06:24;00:00:25;0,30;3,68;0;420,75
94;Точка №3 тупичёк за озером;;17.08.13 08:13:30;17.08.13 08:13:48;00:00:18;10,60;4,17;0;421,18
95;Краснода-Архангельск;Очень длинный трек;17.08.13 08:19:08;17.08.13 08:20:29;00:01:21;57,10;7,48;0,12;423,20
96;Шлагбаум;На въезде;17.08.13 08:31:57;17.08.13 08:32:20;00:00:23;59,50;11,48;0;435,58
97;Точка №2 ул.Привокзальная;;17.08.13 08:47:45;17.08.13 08:48:06;00:00:21;30,20;16,53;0;440,46
98;Хоз двор;Место где находится гараж;17.08.13 09:23:42;17.08.13 09:25:02;00:01:20;32,00;22,50;0,27;446,37
99;Зона интереса 08/06/2013 13:42:53;;17.08.13 09:25:24;17.08.13 09:25:45;00:00:21;24,20;0,26;0;446,75
100;Зона интереса 08/06/2013 13:42:53;;17.08.13 10:16:34;17.08.13 10:17:08;00:00:34;5,40;2,77;0;449,20
101;Хоз двор;Место где находится гараж;17.08.13 10:17:34;17.08.13 10:29:47;00:12:13;32,00;3,03;0,24;449,41
102;Зона интереса 08/06/2013 13:42:53;;17.08.13 10:30:19;17.08.13 10:30:48;00:00:29;17,60;0,32;0;449,75
103;Точка №1 ул. Набережная;;17.08.13 11:19:19;17.08.13 11:28:27;00:09:08;6,30;4,21;0,17;453,59
104;Точка №2 ул.Привокзальная;;17.08.13 11:46:10;17.08.13 11:58:22;00:12:12;11,80;1,72;0,16;455,34
105;Точка №2 ул.Привокзальная;;17.08.13 12:11:05;17.08.13 12:11:21;00:00:16;22,80;1,09;0,10;456,42
106;Овал;;17.08.13 13:08:18;17.08.13 13:25:40;00:17:22;62,90;17,84;13,82;472,22
107;Точка №3 тупичёк за озером;;17.08.13 13:40:54;17.08.13 13:41:08;00:00:14;2,20;8,82;0;496,71
108;Точка №3 тупичёк за озером;;17.08.13 13:47:54;17.08.13 14:07:18;00:19:24;7,90;9,21;0,30;497,06
109;Краснода-Архангельск;Очень длинный трек;17.08.13 14:11:16;17.08.13 14:13:13;00:01:57;56,80;3,28;0,13;498,53
110;Шлагбаум;На въезде;17.08.13 14:24:28;17.08.13 14:24:41;00:00:13;58,40;11,32;0;511,49
111;Зона интереса 08/06/2013 13:42:53;;17.08.13 14:33:39;17.08.13 14:33:45;00:00:06;31,80;17,98;0,05;518,09
112;Хоз двор;Место где находится гараж;17.08.13 14:34:12;17.08.13 15:04:24;00:30:12;31,80;0,22;0,22;518,31
113;Зона интереса 08/06/2013 13:42:53;;17.08.13 15:04:38;17.08.13 15:05:06;00:00:28;14,40;0,22;0,07;518,58
114;Точка №2 ул.Привокзальная;;17.08.13 16:35:54;17.08.13 16:36:29;00:00:35;6,00;3,91;0,05;522,49
115;Зона интереса 08/06/2013 13:42:53;;17.08.13 16:52:56;17.08.13 16:53:15;00:00:19;42,80;3,17;0;525,54
116;Хоз двор;Место где находится гараж;17.08.13 17:13:49;17.08.13 17:15:22;00:01:33;26,60;6,98;0,25;529,20
117;Зона интереса 08/06/2013 13:42:53;;17.08.13 17:15:46;17.08.13 17:16:16;00:00:30;18,10;0,28;0;529,65
118;Шлагбаум;На въезде;17.08.13 17:25:50;17.08.13 17:26:13;00:00:23;58,10;7,10;0;536,10
119;Краснода-Архангельск;Очень длинный трек;17.08.13 17:42:57;17.08.13 17:43:08;00:00:11;49,90;18,44;0,27;547,29
120;Краснода-Архангельск;Очень длинный трек;17.08.13 17:44:46;17.08.13 17:45:09;00:00:23;52,30;1,91;0;549,08
121;Точка №3 тупичёк за озером;;17.08.13 18:02:49;17.08.13 18:03:14;00:00:25;0,30;3,68;0;550,77
122;Точка №3 тупичёк за озером;;17.08.13 18:10:20;17.08.13 18:10:38;00:00:18;10,60;4,17;0;551,20
123;Краснода-Архангельск;Очень длинный трек;17.08.13 18:15:58;17.08.13 18:17:19;00:01:21;57,10;7,48;0,12;553,22
124;Шлагбаум;На въезде;17.08.13 18:28:47;17.08.13 18:29:10;00:00:23;59,50;11,48;0;565,60
125;Точка №2 ул.Привокзальная;;17.08.13 18:44:35;17.08.13 18:44:56;00:00:21;30,20;16,53;0;570,48
126;Хоз двор;Место где находится гараж;17.08.13 19:20:32;17.08.13 19:21:52;00:01:20;32,00;22,50;0,27;576,39
127;Зона интереса 08/06/2013 13:42:53;;17.08.13 19:22:14;17.08.13 19:22:35;00:00:21;24,20;0,26;0;576,76
128;Зона интереса 08/06/2013 13:42:53;;17.08.13 20:13:24;17.08.13 20:13:58;00:00:34;5,40;2,77;0;579,22
129;Хоз двор;Место где находится гараж;17.08.13 20:14:24;17.08.13 20:26:37;00:12:13;32,00;3,03;0,24;579,43
130;Зона интереса 08/06/2013 13:42:53;;17.08.13 20:27:09;17.08.13 20:27:38;00:00:29;17,60;0,32;0;579,77
131;Точка №1 ул. Набережная;;17.08.13 21:16:09;17.08.13 21:25:17;00:09:08;6,30;4,21;0,17;583,61
132;Точка №2 ул.Привокзальная;;17.08.13 21:43:00;17.08.13 21:55:12;00:12:12;11,80;1,72;0,16;585,36
133;Точка №2 ул.Привокзальная;;17.08.13 22:07:55;17.08.13 22:08:11;00:00:16;22,80;1,09;0,10;586,44
134;Овал;;17.08.13 23:05:08;17.08.13 23:22:30;00:17:22;62,90;17,84;13,82;602,24
135;Точка №3 тупичёк за озером;;17.08.13 23:37:44;17.08.13 23:37:58;00:00:14;2,20;8,82;0;626,73
136;Точка №3 тупичёк за озером;;17.08.13 23:44:44;18.08.13 00:04:08;00:19:24;7,90;9,21;0,30;627,08
137;Краснода-Архангельск;Очень длинный трек;18.08.13 00:08:06;18.08.13 00:10:03;00:01:57;56,80;3,28;0,13;628,55
138;Шлагбаум;На въезде;18.08.13 00:21:18;18.08.13 00:21:31;00:00:13;58,40;11,32;0;641,51
139;Зона интереса 08/06/2013 13:42:53;;18.08.13 00:30:29;18.08.13 00:30:35;00:00:06;31,80;17,98;0,05;648,11
140;Хоз двор;Место где находится гараж;18.08.13 00:31:02;18.08.13 01:01:14;00:30:12;31,80;0,22;0,22;648,33
141;Зона интереса 08/06/2013 13:42:53;;18.08.13 01:01:28;18.08.13 01:01:56;00:00:28;14,40;0,22;0,07;648,60
142;Точка №2 ул.Привокзальная;;18.08.13 02:32:44;18.08.13 02:33:19;00:00:35;6,00;3,91;0,05;652,51
143;Зона интереса 08/06/2013 13:42:53;;18.08.13 02:49:46;18.08.13 02:50:05;00:00:19;42,80;3,17;0;655,56
144;Хоз двор;Место где находится гараж;18.08.13 03:10:39;18.08.13 03:12:12;00:01:33;26,60;6,98;0,25;659,22
145;Зона интереса 08/06/2013 13:42:53;;18.08.13 03:12:36;18.08.13 03:13:06;00:00:30;18,10;0,28;0;659,67
146;Шлагбаум;На въезде;18.08.13 03:22:40;18.08.13 03:23:03;00:00:23;58,10;7,10;0;666,12
147;Краснода-Архангельск;Очень длинный трек;18.08.13 03:39:47;18.08.13 03:39:58;00:00:11;49,90;18,44;0,27;677,31
148;Краснода-Архангельск;Очень длинный трек;18.08.13 03:41:36;18.08.13 03:41:59;00:00:23;52,30;1,91;0;679,10
149;Точка №3 тупичёк за озером;;18.08.13 04:00:03;18.08.13 04:00:04;00:00:01;0,00;3,68;0;680,79
150;Точка №3 тупичёк за озером;;18.08.13 04:07:10;18.08.13 04:07:28;00:00:18;10,60;4,17;0;681,22
151;Краснода-Архангельск;Очень длинный трек;18.08.13 04:12:48;18.08.13 04:14:09;00:01:21;57,10;7,48;0,12;683,24
152;Шлагбаум;На въезде;18.08.13 04:25:37;18.08.13 04:26:00;00:00:23;59,50;11,48;0;695,62
153;Точка №2 ул.Привокзальная;;18.08.13 04:41:25;18.08.13 04:41:46;00:00:21;30,20;16,53;0;700,50
154;Хоз двор;Место где находится гараж;18.08.13 05:17:22;18.08.13 05:18:42;00:01:20;32,00;22,50;0,27;706,41
155;Зона интереса 08/06/2013 13:42:53;;18.08.13 05:19:04;18.08.13 05:19:25;00:00:21;24,20;0,26;0;706,78
156;Зона интереса 08/06/2013 13:42:53;;18.08.13 06:10:14;18.08.13 06:10:48;00:00:34;5,40;2,77;0;709,24
157;Хоз двор;Место где находится гараж;18.08.13 06:11:14;18.08.13 06:23:27;00:12:13;32,00;3,03;0,24;709,45
158;Зона интереса 08/06/2013 13:42:53;;18.08.13 06:23:59;18.08.13 06:24:28;00:00:29;17,60;0,32;0;709,79
159;Точка №1 ул. Набережная;;18.08.13 07:12:59;18.08.13 07:22:07;00:09:08;6,30;4,21;0,17;713,63
