Text11;Text20;Text21;Текст10;Text15;TextLocus
73;11:47:04;11:52:27;0:05:23;19,51;"Долгота=39° 11' 06.97"" Широта=45° 13' 58.12"""
74;11:57:44;11:59:11;0:01:27;2,87;"Долгота=39° 11' 31.34"" Широта=45° 15' 02.46"""
75;12:01:24;12:12:19;0:10:55;0,60;"Долгота=39° 11' 03.86"" Широта=45° 14' 59.88"""
76;12:13:47;12:18:54;0:05:07;0,25;"Долгота=39° 10' 53.48"" Широта=45° 14' 56.90"""
77;12:41:42;12:50:31;0:08:49;17,79;"Долгота=39° 00' 44.27"" Широта=45° 14' 16.77"""
78;12:57:20;13:14:49;0:17:29;2,72;"Долгота=39° 00' 30.50"" Широта=45° 15' 13.46"""
79;13:16:13;13:20:33;0:04:20;0,26;"Долгота=39° 00' 25.80"" Широта=45° 15' 05.95"""
80;13:35:06;14:20:41;0:45:35;6,26;"Долгота=38° 59' 00.00"" Широта=45° 14' 37.51"""
81;14:24:33;14:36:07;0:11:34;1,52;Хоз двор. Место где находится гараж.
82;14:43:51;14:49:13;0:05:22;2,82;"Долгота=39° 00' 23.21"" Широта=45° 14' 33.51"""
83;14:49:25;14:51:51;0:02:26;0,13;"Долгота=39° 00' 23.70"" Широта=45° 14' 29.29"""
84;14:52:10;14:53:19;0:01:09;0,15;"Долгота=39° 00' 24.72"" Широта=45° 14' 24.61"""
85;14:53:22;14:57:01;0:03:39;0,07;"Долгота=39° 00' 24.91"" Широта=45° 14' 22.50"""
86;14:57:13;14:59:21;0:02:08;0,10;"Долгота=39° 00' 25.14"" Широта=45° 14' 19.14"""
87;15:00:20;15:04:38;0:04:18;0,22;"Долгота=39° 00' 25.97"" Широта=45° 14' 12.11"""
88;15:04:44;15:06:00;0:01:16;0,07;"Долгота=39° 00' 26.52"" Широта=45° 14' 09.87"""
89;15:07:57;15:09:32;0:01:35;0,26;"Долгота=39° 00' 33.27"" Широта=45° 14' 04.20"""
90;15:10:26;15:25:39;0:15:13;0,20;"Долгота=39° 00' 26.16"" Широта=45° 14' 07.66"""
91;15:26:09;15:34:47;0:08:38;0,08;Точка №1 ул. Набережная.
92;15:39:04;15:46:36;0:07:32;1,24;"Долгота=39° 00' 20.17"" Широта=45° 14' 42.00"""
93;15:49:13;15:52:07;0:02:54;0,37;"Долгота=39° 00' 16.60"" Широта=45° 14' 53.53"""
94;15:52:44;16:04:42;0:11:58;0,12;Точка №2 ул.Привокзальная.
95;16:05:36;16:11:26;0:05:50;0,24;"Долгота=39° 00' 12.63"" Широта=45° 15' 05.07"""
96;16:11:42;16:15:20;0:03:38;0,09;"Долгота=39° 00' 11.60"" Широта=45° 15' 07.94"""
97;16:24:24;16:32:37;0:08:13;3,81;"Долгота=38° 58' 44.54"" Широта=45° 14' 14.21"""
98;16:37:31;16:38:49;0:01:18;1,51;"Долгота=38° 59' 14.01"" Широта=45° 13' 31.07"""
99;16:40:07;16:43:18;0:03:11;0,17;"Долгота=38° 59' 21.82"" Широта=45° 13' 31.97"""
100;16:43:38;16:46:37;0:02:59;0,11;"Долгота=38° 59' 26.97"" Широта=45° 13' 32.51"""
101;16:48:37;16:50:11;0:01:34;0,12;"Долгота=38° 59' 32.52"" Широта=45° 13' 33.33"""
102;16:50:15;16:53:03;0:02:48;0,06;"Долгота=38° 59' 35.10"" Широта=45° 13' 33.85"""
103;16:55:09;16:58:46;0:03:37;0,23;"Долгота=38° 59' 45.35"" Широта=45° 13' 35.23"""
104;17:40:36;17:42:59;0:02:23;34,37;"Долгота=39° 11' 31.14"" Широта=45° 15' 02.18"""
105;17:44:57;17:47:14;0:02:17;0,60;"Долгота=39° 11' 03.85"" Широта=45° 14' 59.78"""
106;17:47:58;17:53:34;0:05:36;0,21;"Долгота=39° 10' 55.28"" Широта=45° 14' 57.03"""
107;17:54:34;18:13:38;0:19:04;0,18;Точка №3 тупичёк за озером.
108;18:41:00;19:10:44;0:29:44;21,33;Хоз двор. Место где находится гараж.
109;19:15:10;19:22:02;0:06:52;0,90;"Долгота=38° 59' 07.51"" Широта=45° 14' 20.08"""
110;19:22:48;19:34:32;0:11:44;0,18;"Долгота=38° 59' 05.03"" Широта=45° 14' 25.68"""
111;19:35:53;19:40:27;0:04:34;0,26;"Долгота=38° 59' 01.79"" Широта=45° 14' 33.70"""
112;19:40:53;20:10:43;0:29:50;0,13;"Долгота=38° 58' 59.88"" Широта=45° 14' 37.66"""
113;20:11:38;20:15:00;0:03:22;0,14;"Долгота=38° 58' 58.83"" Широта=45° 14' 42.06"""
114;20:15:04;20:16:27;0:01:23;0,07;"Долгота=38° 58' 58.38"" Широта=45° 14' 44.26"""
115;20:16:30;20:21:34;0:05:04;0,02;"Долгота=38° 58' 58.16"" Широта=45° 14' 45.02"""
116;20:21:48;20:26:53;0:05:05;0,10;"Долгота=38° 58' 57.42"" Широта=45° 14' 48.20"""
117;20:27:40;20:29:44;0:02:04;0,16;"Долгота=38° 58' 56.06"" Широта=45° 14' 53.24"""
118;20:29:51;20:32:32;0:02:41;0,06;"Долгота=38° 58' 55.59"" Широта=45° 14' 55.14"""
119;20:36:04;20:37:30;0:01:26;1,81;"Долгота=39° 00' 11.78"" Широта=45° 15' 07.51"""
120;20:37:43;20:39:38;0:01:55;0,09;"Долгота=39° 00' 12.81"" Широта=45° 15' 04.66"""
121;20:40:30;20:42:14;0:01:44;0,11;"Долгота=39° 00' 13.83"" Широта=45° 15' 01.21"""
122;20:43:32;20:45:25;0:01:53;0,20;"Долгота=39° 00' 15.92"" Широта=45° 14' 54.95"""
123;20:46:51;20:49:53;0:03:02;0,18;"Долгота=39° 00' 17.85"" Широта=45° 14' 49.18"""
124;20:51:55;20:52:56;0:01:01;0,30;"Долгота=39° 00' 21.57"" Широта=45° 14' 39.88"""
125;20:53:08;20:54:56;0:01:48;0,07;"Долгота=39° 00' 22.11"" Широта=45° 14' 37.62"""
126;21:02:28;21:07:32;0:05:04;4,40;"Долгота=38° 57' 09.71"" Широта=45° 13' 58.98"""
127;21:09:32;21:16:21;0:06:49;0,14;"Долгота=38° 57' 15.70"" Широта=45° 13' 57.75"""
128;21:43:54;21:49:17;0:05:23;19,51;"Долгота=39° 11' 06.97"" Широта=45° 13' 58.12"""
